formula,teste,mlp,randomForest,svm,xbr,K,E,C,Gamma
potencia,0,0.195,0.244,0.189,0.247,0,0,31,0
potencia,1,0.244,0.244,0.188,0.229,0,0,38,0
potencia,2,0.209,0.249,0.193,0.242,0,0,46,0
potencia,3,0.203,0.269,0.192,0.258,0,0,91,0
